model,n,pred_mean,obs_rate
logit,604,0.18017932838452944,0.046357615894039736
logit,603,0.26761084279351766,0.0945273631840796
logit,604,0.32645972092961106,0.10430463576158941
logit,603,0.378217674110698,0.16749585406301823
logit,604,0.42877159003229764,0.2251655629139073
logit,603,0.4796385701326354,0.22388059701492538
logit,603,0.533257363727505,0.263681592039801
logit,604,0.589001001446347,0.2947019867549669
logit,603,0.6587690720238801,0.33001658374792703
logit,604,0.7886731042900166,0.4602649006622517
elastic_net_logit,604,0.19197944563746566,0.04304635761589404
elastic_net_logit,603,0.2771244554369771,0.0945273631840796
elastic_net_logit,604,0.3337701128421944,0.11258278145695365
elastic_net_logit,603,0.3824905437424427,0.16583747927031509
elastic_net_logit,604,0.4304219477909969,0.22019867549668873
elastic_net_logit,603,0.47971233588853,0.22388059701492538
elastic_net_logit,603,0.5299883457539063,0.26865671641791045
elastic_net_logit,604,0.5843031371026887,0.2913907284768212
elastic_net_logit,603,0.6510871599468419,0.3283582089552239
elastic_net_logit,604,0.7811190014807683,0.46192052980132453
rf,604,0.12762316417386546,0.057947019867549666
rf,603,0.20722255224388456,0.08623548922056384
rf,604,0.2709458331364672,0.1291390728476821
rf,603,0.33771672715184564,0.15754560530679934
rf,604,0.39758349426796924,0.1986754966887417
rf,603,0.45168399761637446,0.208955223880597
rf,603,0.5023884372195672,0.2470978441127695
rf,604,0.5530301053769875,0.3129139072847682
rf,603,0.6081030706868907,0.36981757877280264
rf,604,0.6958532689594754,0.4420529801324503
gbm,604,0.054818811621029556,0.039735099337748346
gbm,603,0.08235485313202298,0.09286898839137644
gbm,604,0.11239405134530751,0.1390728476821192
gbm,603,0.14724635564042596,0.15754560530679934
gbm,604,0.18810995044877163,0.1804635761589404
gbm,603,0.22179091668307344,0.21724709784411278
gbm,603,0.2604540716431521,0.26865671641791045
gbm,604,0.30607734801467223,0.3195364238410596
gbm,603,0.35896872671065283,0.33499170812603646
gbm,604,0.45668119116791656,0.4602649006622517
ebm,604,0.058742059275240704,0.039735099337748346
ebm,603,0.09352633557678189,0.0945273631840796
ebm,604,0.12086138223273438,0.1291390728476821
ebm,603,0.1479181234287353,0.15920398009950248
ebm,604,0.17815018023674084,0.18874172185430463
ebm,603,0.2121749188989617,0.23217247097844113
ebm,603,0.24920310802146936,0.2504145936981758
ebm,604,0.2973419232552319,0.2980132450331126
ebm,603,0.3580943648905312,0.3449419568822554
ebm,604,0.475060899603502,0.4735099337748344
mlp,604,0.1509342177715232,0.04304635761589404
mlp,603,0.24756090981757878,0.1044776119402985
mlp,604,0.32281204804635766,0.11092715231788079
mlp,603,0.39209744587064677,0.1625207296849088
mlp,604,0.4556582642880795,0.20198675496688742
mlp,603,0.5116074247429518,0.22056384742951907
mlp,603,0.5597846783913765,0.2222222222222222
mlp,604,0.6059789496357616,0.3228476821192053
mlp,603,0.6550416335157545,0.3681592039800995
mlp,604,0.7313345131456954,0.45364238410596025
spline_logit,2012,0.05538754620999513,0.0437375745526839
spline_logit,2011,0.09162329105821967,0.0870213823968175
spline_logit,2011,0.12078961502186758,0.10641471904525111
spline_logit,2012,0.14899586075428342,0.1540755467196819
spline_logit,2011,0.1783392960420431,0.19045251118846346
spline_logit,2011,0.21018394495178977,0.20686225758329188
spline_logit,2012,0.24851082329319668,0.28330019880715707
spline_logit,2011,0.29727977046196913,0.3008453505718548
spline_logit,2011,0.3636727111091884,0.35952262555942316
spline_logit,2012,0.4962297768419553,0.47862823061630216
