subgroup,level,OR,OR_low,OR_high,p,n
overall,all,0.6601512479841609,0.6111795413063038,0.7130468884537419,4.566411953706943e-26,20114
female,0,0.6306175248246861,0.5656186900349132,0.7030857883983053,9.7982217262446e-17,8677
female,1,0.6912573736519614,0.6195405119785702,0.7712760463430931,3.919171834787814e-11,11437
age_group,51-64,0.7005551767209374,0.6244384087359447,0.785950301526116,1.3254536926009008e-09,9470
age_group,65+,0.6064039062279433,0.5459431893271496,0.67356037162349,1.0168399525650637e-20,10644
bmi_group,normal/underweight,0.5348897979976854,0.44199199638088366,0.6473128435462752,1.2895610224692768e-10,5362
bmi_group,overweight,0.6331691213133898,0.5538330423270817,0.7238700213700963,2.2181577811348043e-11,7185
bmi_group,obese,0.732666987309268,0.6563978152472874,0.8177981428695159,2.917576639878503e-08,7567
income_group,higher income,0.6089116863844444,0.5349354650291541,0.693118078823472,6.07022015974009e-14,7906
income_group,low/mid income,0.6960530804196529,0.6324493442942418,0.7660532738828849,1.2547359141084713e-13,12208
raceeth,0,0.6161889537552759,0.5560343257943877,0.6828514160300676,2.4985235198735642e-20,13223
raceeth,1,0.7874621050520973,0.6715063960053406,0.9234410432751095,0.0032823730800052545,3786
raceeth,2,0.6337342167813874,0.5214537584222717,0.7701911263132342,4.554001210197996e-06,2491
raceeth,3,1.0193437358815018,0.678946164430147,1.5304035965104272,0.9263759748328826,614
