feature,importance_mean,importance_sd
comorb_respiratory,0.04476392261607578,0.022186242074469335
min_sbp,0.017146949145379935,0.0178775552050539
max_temperature_c,0.013328695017760272,0.00845928688854351
mean_resp_rate,0.008760004358574554,0.020738090547325328
first_lactate,0.007501550601405493,0.0042499680385131465
comorb_renal,0.007009334767686859,0.005667822796413642
first_potassium,0.006594842619302788,0.0035459291610641765
mean_lactate,0.006529030754754864,0.002810987786006533
max_lactate,0.005946605926809368,0.003060289256969811
language,0.005448786638919497,0.008955260803552826
min_potassium,0.00519939391680968,0.004286865648745814
min_heart_rate,0.005184031599900192,0.004099247356336497
min_lactate,0.005053780664893751,0.0027219087254988466
admission_location,0.004693576897734023,0.003841051828582662
max_creatinine,0.0041319636141729284,0.007267284119320872
mean_potassium,0.0029692844620809343,0.002069163448314517
mean_sodium,0.002965884532933379,0.002795736392130944
mean_sbp,0.0025536277843689874,0.0069291084075247585
mean_temperature_c,0.002531313710739284,0.0033109746814534045
max_sodium,0.002268444943223595,0.005594424171164917
max_spo2,0.002063071169031546,0.0028771871699533086
mean_spo2,0.0020267913782800093,0.0021617182957345184
comorb_infectious,0.0019375822390752602,0.0017967144118955726
comorb_cardiovascular,0.0017793476461745968,0.0034834206096658682
max_mbp,0.0017519483189857854,0.0035203873779361067
age,0.0017170238652974069,0.0013088547699862392
first_mbp,0.001545795219278697,0.0018241868375210239
max_sbp,0.0013368349399684233,0.0038293360544175074
min_sodium,0.001309746328380453,0.0014287693163725825
comorb_neuro_psych,0.0011293772727754706,0.005099670383887023
first_creatinine,0.0010395351902702614,0.004699005362202688
race_group,0.0009412015734420002,0.002430037305374471
gender,0.00089269052604527,0.0017005766713857728
mean_dbp,0.0008335898850574027,0.0010224643120166368
insurance,0.000818426043716014,0.004754024490193774
first_dbp,0.000609926430646109,0.002080855927420369
first_sodium,0.0005193330030739074,0.001885901539765946
admission_type,0.0003953069908151844,0.00543168922629992
max_resp_rate,0.00037026475135721514,0.0032975635847336485
max_potassium,0.0001015427965059934,0.0008495896884861481
min_resp_rate,-6.911468800657738e-05,0.003344830414760226
comorb_diabetes,-7.479702993914797e-05,0.007337339249479493
comorb_liver,-7.73781255781055e-05,4.8923147855859276e-05
comorb_cancer,-0.00024325240946734643,0.0010533595347582201
min_mbp,-0.0006049414019854186,0.0033562496002862473
min_dbp,-0.0006681621061758625,0.002489750535987779
first_careunit,-0.0014396079571821466,0.007916653150902531
first_resp_rate,-0.0017539867339263122,0.003727831570343084
first_heart_rate,-0.0018849904657986416,0.002814218094032624
min_temperature_c,-0.0018903866660849053,0.005440968366471449
first_spo2,-0.0022791441890653076,0.0016992563680106774
min_creatinine,-0.002425111767319695,0.005163304645298224
first_sbp,-0.0028637285337405837,0.0022975861293352802
first_hemoglobin,-0.0042831948702941195,0.002258796695549294
min_hemoglobin,-0.004729643443409803,0.0037498381560568685
mean_mbp,-0.005118822493589803,0.0029398791899283142
mean_heart_rate,-0.005131261358564018,0.0032967849729722354
mean_hemoglobin,-0.005167025056532382,0.003194214673485313
marital_status,-0.005390684709985438,0.005783904397042255
max_hemoglobin,-0.006281626269705132,0.004583909503619998
min_spo2,-0.0064319327304866005,0.004803682172007489
first_temperature_c,-0.006711730558251753,0.007392467380938947
max_dbp,-0.008895009591765805,0.018914864363307873
max_heart_rate,-0.02101156611817071,0.02206292616702352
mean_creatinine,-0.026778750927107128,0.009936895408728908
